PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,DeploymentOrder,CharacterCount
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimSalesOverview,CREATE TABLE,SALES,01-tables.sql,20,30,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2040 | MSCEWI2053 | MSCEWI1036 | MSCEWI2015,,,--,100%,7,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimSalesReason,CREATE TABLE,SALES,01-tables.sql,56,12,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactSalesQuota,CREATE TABLE,SALES,01-tables.sql,73,15,Low,Fully Converted,MSCEWI2008,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERSON_EMPLOYMENT_PERIOD,CREATE TABLE,HR,01-tables.sql,94,9,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,TEMP_QUAL_TABLE,CREATE TABLE,PRODUCT,01-tables.sql,108,16,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimEmployee,CREATE TABLE,HR,01-tables.sql,130,39,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2015,,,--,100%,6,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE_DUPE,CREATE TABLE,HR,01-tables.sql,171,2,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimGeography,CREATE TABLE,PRODUCT,01-tables.sql,175,19,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimAccount,CREATE TABLE,PRODUCT,01-tables.sql,196,18,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimDepartmentGroup,CREATE TABLE,PRODUCT,01-tables.sql,216,11,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactCallCenter,CREATE TABLE,HR,01-tables.sql,229,22,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimPromotion,CREATE TABLE,SALES,01-tables.sql,253,24,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimOrganization,CREATE TABLE,HR,01-tables.sql,279,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimProduct,CREATE TABLE,PRODUCT,01-tables.sql,294,44,Low,Fully Converted,MSCEWI1024 | MSCEWI2013 | MSCEWI2015,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactSurveyResponse,CREATE TABLE,SALES,01-tables.sql,340,16,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactCurrencyRate,CREATE TABLE,SALES,01-tables.sql,358,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimSalesTerritory,CREATE TABLE,SALES,01-tables.sql,373,14,Low,Fully Converted,MSCEWI2013 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimReseller,CREATE TABLE,SALES,01-tables.sql,389,28,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimProductCategory,CREATE TABLE,PRODUCT,01-tables.sql,419,13,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactInternetSalesReason,CREATE TABLE,SALES,01-tables.sql,434,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimDate,CREATE TABLE,HR,01-tables.sql,446,27,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactFinance,CREATE TABLE,HR,01-tables.sql,476,16,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimProductSubcategory,CREATE TABLE,PRODUCT,01-tables.sql,494,14,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactSalesQuota,CREATE TABLE,SALES,01-tables.sql,510,15,Low,Fully Converted,MSCEWI2008,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimCurrency,CREATE TABLE,HR,01-tables.sql,529,11,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FactInternetSales,CREATE TABLE,SALES,01-tables.sql,544,34,Low,Fully Converted,MSCEWI2065 | MSCEWI2008,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimScenario,CREATE TABLE,PRODUCT,01-tables.sql,581,10,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DimCustomer,CREATE TABLE,SALES,01-tables.sql,593,37,Low,Fully Converted,MSCEWI2015,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERSON_EMPLOYMENT_PERIOD,CREATE TABLE,HR,01-tables.sql,632,9,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ACT_COUNT,CREATE TABLE,HR,01-tables.sql,643,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE,CREATE TABLE,HR,01-tables.sql,654,10,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_DATA_TYPE,CREATE TABLE,PRODUCT,01-tables.sql,666,20,Low,Fully Converted,MSCEWI1036 | MSCEWI2065 | MSCEWI2015,,,--,100%,15,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE_PERIOD,CREATE TABLE,HR,01-tables.sql,688,16,Low,Fully Converted,MSCEWI2040 | MSCEWI2053 | MSCEWI2065 | MSCEWI2015,,,--,100%,4,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,EMPLOYEE_PHONE_INFO,CREATE TABLE,HR,01-tables.sql,706,11,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ERR_SP_LOG,CREATE TABLE,PRODUCT,01-tables.sql,719,10,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FLIGHTS,CREATE TABLE,HR,01-tables.sql,731,10,Low,Fully Converted,MSCEWI2065 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERSON_LOGIN,CREATE TABLE,HR,01-tables.sql,743,9,Low,Fully Converted,MSCEWI2065,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_FUNCTION,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,21,11,Low,Fully Converted,MSCEWI1020 | MSCEWI2053,,,--,100%,4,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,vtruncround,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,38,21,Low,Fully Converted,MSCEWI1020 | MSCEWI1050,TRUNC_UDF|ROUND_DATE_UDF,TRUNC_UDF.sql|ROUND_DATE_UDF.sql,--,100%,9,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,REACHABLE_FROM,CREATE / REPLACE VIEW,HR_VIEWS,02-views.sql,65,20,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FACTFINANCE_COPY_WITHOUT_DATA,CREATE TABLE,SALES_VIEWS,02-views.sql,101,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_DATA_TYPE_V,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,110,4,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERIOD_OVERLAP_LDIFF,CREATE / REPLACE VIEW,HR_VIEWS,02-views.sql,116,15,Low,Fully Converted,MSCEWI1020 | MSCEWI2053 | MSCEWI1050,PERIOD_OVERLAPS_UDF,PERIOD_UDF.sql,--,100%,14,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_DATA,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,134,18,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERIOD_INTERVAL_BEGIN,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,154,19,Low,Fully Converted,MSCEWI1020 | MSCEWI2053 | MSCEWI1050,,,--,100%,7,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_11,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,20,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_12,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,26,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_1,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,34,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_2,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,40,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_3,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,46,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,table_101,CREATE TABLE,ORG_DEV,macro/05-macro-plus.sql,23,5,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,macro_1,CREATE MACRO,ORG_DEV,macro/05-macro-plus.sql,30,11,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,TABLE1,CREATE TABLE,ORG_DEV,macro/05-macro-plus.sql,45,10,Low,Fully Converted,MSCEWI1036 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MacroSample01,CREATE MACRO,Undefined DB name,macro/05-macro-plus.sql,57,5,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ProcedureSample01,CREATE / REPLACE PROCEDURE,Undefined DB name,macro/05-macro-plus.sql,65,21,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ProcedureSample02,CREATE / REPLACE PROCEDURE,Undefined DB name,macro/05-macro-plus.sql,94,10,Medium,Partially Converted,MSCEWI1021,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ProcedureSample03,CREATE / REPLACE PROCEDURE,Undefined DB name,macro/05-macro-plus.sql,114,20,Low,Fully Converted,MSCEWI1038,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DYNAMIC_RESULT_SETS,CREATE / REPLACE PROCEDURE,ORG_DEV,procedure/04-procedures.sql,24,13,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FOR_STATEMENT,CREATE / REPLACE PROCEDURE,ORG_DEV,procedure/04-procedures.sql,48,14,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,"""CURSORS""",CREATE / REPLACE PROCEDURE,"""SNOWCONVERT""",procedure/04-procedures.sql,66,34,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,CREATE_INSERTS,CREATE / REPLACE PROCEDURE,ORG_DEV,procedure/04-procedures.sql,120,78,Low,Fully Converted,MSCEWI1038,,,--,100%,11,,,
8c246674-3b68-41de-8096-c333d8a01bcc,BTEQ,TABLE1,CREATE TABLE,Undefined DB name,script/06-bteq_sample_1.btq,30,10,,Fully Converted,,,,--,100%,0,,,
